Model,MSE,MAE,R2
Baseline (Linear Regression),631.1587433870468,18.537782193847967,0.9667614944779575
LSTM Univariado,2062.771948865619,34.57099063865038,0.8912227146236333
CNN Univariado,1228.1705498358035,26.725615182434268,0.9352585906313722
LSTM Multivariado,4493.894948295332,53.39445088166475,0.7629858671822315
